текст
"Заказ не пришел в указанный срок, трек-номер не отслеживается"
"Товар пришел поврежденный, упаковка была вскрыта"
"Не могу оплатить заказ банковской картой, выдает ошибку"
"Хочу вернуть товар, он не подошел по размеру"
"Качество товара не соответствует описанию на сайте"
"Курьер не позвонил перед доставкой, пришлось ехать на почту"
"Списали деньги дважды за один заказ, верните средства"
"Промокод не работает при оформлении заказа"
"Не могу отменить заказ через личный кабинет"
"Товар отличный, доставка быстрая, спасибо"
"Долго обрабатываете возврат, жду деньги уже две недели"
"Не пришло уведомление о доставке, узнал случайно"
"Цена на сайте отличается от цены при оформлении"
"Хочу обменять товар на другой размер, как это сделать?"
"Очень довольна покупкой, буду заказывать еще"
