текст
Курс очень полезный, но слишком много теории и мало практики
Преподаватель объясняет непонятно, приходится искать в интернете
Отличный курс, получил работу сразу после окончания
Домашние задания слишком сложные для новичков
Видео-уроки плохого качества, звук тихий
Куратор не отвечает на вопросы по несколько дней
Материалы устаревшие, нужно обновить программу
Очень нравится формат обучения, удобно совмещать с работой
Не хватает живых вебинаров, только записи
Цена завышена для такого объема материала
Сертификат пришел с ошибками в имени
Платформа часто зависает, особенно во время вебинаров
Отличная поддержка, быстро решают технические проблемы
После курса чувствую себя увереннее в профессии
Не понравилось, что нет возможности вернуть деньги после старта
