текст
Приложение постоянно вылетает при попытке сохранить данные
Отличный интерфейс, всё интуитивно понятно
Не могу войти в аккаунт, пишет ошибку авторизации
Очень медленно загружаются страницы, особенно на старых телефонах
Нравится дизайн, но не хватает темной темы
После последнего обновления пропала кнопка экспорта
Удобно пользоваться, но цена подписки завышена
Техподдержка не отвечает на письма уже неделю
Функционал богатый, но слишком сложно разобраться новичку
Лучшее приложение в своей категории, рекомендую всем
Не работает синхронизация между устройствами
Жду функцию импорта из Excel, когда добавите?
Реклама слишком навязчивая, невозможно пользоваться бесплатной версией
Отличная работа разработчиков, регулярные обновления радуют
Приложение съедает всю батарею за час использования
